,teamname,outs,base_state_retro,chosen_runner_strategy,model_optimal_strategy,chosen_strategy_payoff,model_optimal_payoff,payoff_diff,sp1,sp2,speed_1b,speed_2b,speed_3b,arm_strength
110,CLE,1,110,[],[],0.0,0.0,0.0,1.7481399126997736e-05,8.155059983253238e-05,27.8,28.1,,98.2
111,MIL,1,11,[3],[3],0.737,0.5745752,0.16242480000000004,0.0410191806263805,0.8264444705260648,,26.7,25.0,98.2
112,BOS,1,110,[],[],0.0,0.0,0.0,0.0035288102463546978,0.03830253625164519,27.6,25.0,,97.8
113,MIL,0,11,[3],"[2, 3]",0.28,0.5589999999999999,-0.2789999999999999,0.9884175287820305,0.9991411992329773,,28.4,23.5,93.6
114,BOS,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.5409723283823272,0.9966024021959995,27.6,,25.0,95.4
115,MIL,1,11,[3],"[2, 3]",0.737,0.779,-0.04200000000000004,0.9963222097628802,0.9993479190377328,,28.8,25.0,93.6
121,BOS,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.03274269832523095,0.9959732192427445,27.3,,27.6,95.7
123,BAL,0,110,[],[2],0.0,0.3155424,-0.3155424,0.004443896396812231,0.6176710980555016,27.0,28.0,,93.6
124,BOS,0,101,"[3, 1]",[],0.098,0.0,0.098,0.08519884313957342,0.9987474011036849,25.9,,27.1,95.3
126,TBA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.04256931379741031,0.9979458136031452,26.6,,29.7,94.0
129,BOS,1,11,[],[],0.0,0.0,0.0,0.13387547313961873,0.1530150183433774,,28.8,26.1,97.0
130,BOS,0,110,[2],[2],0.6679999999999999,0.3990191999999999,0.2689808,0.03538056829049289,0.6952613858001158,27.8,28.3,,98.8
133,BOS,0,110,[],[],0.0,0.0,0.0,0.021212526850789584,0.0055935238240451945,27.1,24.9,,97.2
137,CHA,1,110,[],[],0.0,0.0,0.0,0.22687266922543928,0.07366605079753512,26.5,22.8,,91.2
142,CHA,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5263803999999999,0.03261960000000008,0.9897522418078846,0.9710363869800844,,28.0,22.8,96.1
145,CHA,1,110,[],[2],0.0,0.0143632,-0.0143632,0.004214143414282285,0.8696866645844107,22.8,25.5,,93.1
146,CHA,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.046723417362109325,0.9962636105746794,22.8,28.7,,93.1
148,CHA,0,101,[],[],0.0,0.0,0.0,0.00021323407205755984,0.15936926060511164,26.5,,25.5,93.1
149,CHA,0,110,[],[],0.0,0.0,0.0,0.028532801201686428,0.09980259980019912,22.8,28.7,,90.7
154,CHA,1,101,[],[3],0.0,0.1366043999999999,-0.1366043999999999,4.557888889522692e-05,0.27566701697165297,26.4,,27.2,95.9
167,TOR,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.7911470730161145,0.996940916297362,27.1,26.9,,92.8
172,CLE,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.06051486947366103,0.9552262893732452,29.4,,28.1,91.8
173,CHA,1,110,[],[],0.0,0.0,0.0,0.12913731722802688,0.7209161312838226,25.5,25.5,,92.9
175,CHA,1,110,[],[],0.0,0.0,0.0,0.0031392090952410564,0.22862764273502964,26.5,25.5,,101.3
180,CHA,1,110,[],[],0.0,0.0,0.0,0.00550658972873391,0.07091562250055652,22.8,25.5,,87.5
183,CHA,1,110,[],[],0.0,0.0,0.0,0.006884389053124457,0.7453117742482134,25.5,25.5,,94.2
185,CHA,1,11,"[3, 2]","[2, 3]",0.779,0.7714724000000001,0.007527599999999968,0.9814055636212602,0.9971253727304648,,25.5,25.5,94.2
187,CHA,1,110,[],[],0.0,0.0,0.0,0.004564545592757862,0.691580144813994,25.5,26.5,,92.1
188,CLE,1,110,[],[],0.0,0.0,0.0,0.08372085147924377,0.6876296995061295,29.4,28.1,,92.8
190,CLE,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.009807365726991932,0.9835593693583988,27.9,,27.8,92.8
194,CLE,0,110,[],[],0.0,0.0,0.0,0.00021195128687509415,0.05438919185815098,28.4,29.2,,92.8
201,TOR,1,110,[],[],0.0,0.0,0.0,0.0007811366676236105,0.25315913416236263,26.4,27.1,,92.9
202,CLE,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.20390880024193317,0.9980809650423914,29.0,,28.1,92.6
203,CLE,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.16569831910425312,0.9983263059617589,29.2,,29.0,95.3
211,CLE,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.5516643555161649,0.995127419997406,29.4,28.1,,93.6
213,CLE,0,110,[],[2],0.0,0.3155424,-0.3155424,0.0011925579881165089,0.6329600578673751,24.5,28.0,,93.6
214,CLE,0,110,[],[],0.0,0.0,0.0,0.000486060648678676,0.016548353176397766,29.4,28.1,,96.3
215,CLE,1,110,[],[],0.0,0.0,0.0,0.00020147397245286807,0.005701724898735148,29.4,28.1,,96.3
216,CLE,1,11,[3],[3],0.737,0.737,0.0,0.5857506781786164,0.9948190349993179,,29.4,28.1,86.3
217,CLE,1,11,[],[3],0.0,0.3941032,-0.3941032,0.11770201484862118,0.6174592000704151,,29.4,28.1,96.3
219,CLE,1,110,[],[],0.0,0.0,0.0,0.08046213451024803,0.8274403372343259,29.0,25.8,,95.9
221,CHA,1,110,[],[],0.0,0.0,0.0,0.07873540783035397,0.05858838202351716,28.8,26.5,,92.9
223,CLE,0,110,[],[],0.0,0.0,0.0,0.00011008006616776471,0.010922758392807336,27.8,29.4,,90.2
225,HOU,0,110,[2],[2],0.6679999999999999,0.4268448000000001,0.24115519999999985,0.005893187043666718,0.7313656409765155,26.0,26.3,,101.3
226,HOU,1,101,[],[],0.0,0.0,0.0,0.0003315234992990777,0.04970878017208837,28.2,,26.0,101.3
228,HOU,1,11,[3],[3],0.737,0.737,0.0,0.4649332133854803,0.9954089434903889,,29.2,28.2,91.7
230,CLE,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9894484786279459,0.9991938057551969,,28.1,28.8,90.0
232,CLE,0,110,[],[],0.0,0.0,0.0,0.016274978987458884,0.2110851108985311,26.0,29.2,,93.1
233,SEA,1,11,[],[3],0.0,0.1504659999999999,-0.1504659999999999,0.008013791907456335,0.3552973757972497,,29.6,27.9,92.9
234,CLE,1,110,[],[],0.0,0.0,0.0,0.012786934984927783,0.007908925649795964,29.2,29.0,,97.8
237,CLE,1,11,[],[3],0.0,0.0512063999999999,-0.0512063999999999,0.004051616067076563,0.2438169229379927,,29.0,28.0,92.0
240,MIN,1,101,[3],[3],-0.498,0.5120664,-1.0100664,0.002271682780266472,0.7333519541072665,26.6,,26.1,91.3
243,CLE,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.09257913272140694,0.979096117711933,28.0,28.3,,101.2
244,KCA,1,101,[3],[3],0.7290000000000001,0.6789384,0.05006160000000004,0.002615318607681065,0.9408873808429721,25.8,,30.5,94.0
246,CHA,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.018274995454291048,0.7656545797971691,26.5,25.5,,88.7
252,NYA,1,101,[],[3],0.0,0.4369740000000001,-0.4369740000000001,0.0010847707568561863,0.6628513730533818,27.7,,25.7,88.7
254,OAK,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.06565683957148011,0.9943299061623443,28.5,,26.5,94.4
257,BAL,0,110,[],[2],0.0,0.4732207999999999,-0.4732207999999999,0.019782241804261014,0.7902096537666548,30.1,28.0,,88.7
259,DET,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.010613316523993069,0.9757162433356589,28.6,,28.1,90.0
261,CLE,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.26276950043379904,0.9995580066479549,29.0,,29.2,94.4
265,CHA,1,11,[3],[3],0.737,0.7099291999999998,0.027070800000000173,0.12858739112209985,0.9623067161004991,,26.4,28.7,95.7
266,CHA,0,110,[],[2],0.0,0.3990191999999999,-0.3990191999999999,0.020038879551314167,0.7136603316318014,25.5,28.7,,95.7
268,DET,1,11,"[3, 2]","[2, 3]",0.779,0.6424928000000001,0.13650719999999994,0.7798731363312897,0.8660109389254147,,28.1,28.6,97.0
272,DET,0,110,[],[],0.0,0.0,0.0,6.438795546376767e-05,0.017517686087711613,28.6,28.1,,101.3
273,DET,1,101,[3],[3],0.7290000000000001,0.603846,0.1251540000000001,0.023948666825513616,0.8619620501022128,26.9,,27.5,96.9
276,DET,0,110,"[2, 1]",[2],-0.554,0.4268448000000001,-0.9808448000000001,0.06605409909000849,0.7483489300552906,28.0,23.1,,92.9
278,CLE,1,11,[3],"[2, 3]",0.737,0.7639448,-0.02694479999999999,0.9428631581276659,0.9998740893559885,,27.8,29.4,88.7
280,DET,0,101,[],[],0.0,0.0,0.0,0.004939611296999509,0.29907580456244104,28.6,,26.5,93.9
281,SDN,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9874266504143007,0.9999302627688695,,26.3,28.3,92.1
283,DET,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.3221911999999999,0.23680880000000004,0.6491089815225489,0.9337690052352408,,28.6,27.5,101.2
284,CLE,1,101,[3],[3],0.7290000000000001,0.7172208,0.0117792000000001,0.3345735959780944,0.9844769900007032,29.2,,29.0,90.2
285,CLE,1,110,[],[2],0.0,0.0454383999999999,-0.0454383999999999,0.6627029976227978,0.9321206856276534,29.4,28.1,,90.2
286,ANA,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.2828149623749183,0.9673391833659417,28.0,27.4,,92.1
289,SFN,1,110,[],[],0.0,0.0,0.0,0.01004043457968781,0.8224742958229811,26.2,26.4,,95.7
291,SEA,1,110,[],[],0.0,0.0,0.0,0.04990281522290592,0.4793698932367144,26.4,25.0,,90.2
292,DET,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.09199422532474291,0.9691079593674687,28.1,28.6,,101.3
294,HOU,1,110,[],[2],0.0,0.0502191999999999,-0.0502191999999999,0.7541637876563618,0.984563651643446,26.9,23.2,,92.1
297,CHA,1,110,[],[2],0.0,0.0143632,-0.0143632,0.01484981116887539,0.8854479512313198,26.4,26.5,,95.0
298,DET,0,110,[],[2],0.0,0.2877167999999999,-0.2877167999999999,0.00225520622580572,0.57565315115455,26.9,27.4,,91.6
301,HOU,0,110,[2],[2],0.6679999999999999,0.3990191999999999,0.2689808,0.01766784918897547,0.7014632614294414,29.4,26.6,,93.1
305,DET,0,110,"[2, 1]",[2],0.486,0.6679999999999999,-0.18199999999999994,0.6052410657553443,0.9969655313494052,28.1,27.8,,91.2
307,HOU,0,110,[],[],0.0,0.0,0.0,0.00331756715202544,0.06749749235425617,26.9,23.2,,90.2
308,HOU,1,101,"[3, 1]",[3],0.829,0.6539076000000001,0.17509239999999981,0.003964851568844968,0.9022640909033479,26.0,,26.3,90.7
309,HOU,1,110,[],[],0.0,0.0,0.0,3.691523610361131e-05,0.003607830488821005,26.6,26.3,,97.9
310,SEA,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.002958215166042563,0.9242736877408422,26.4,,26.7,101.2
313,NYN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.0021986614885415633,0.6461234949320661,28.1,,27.1,90.1
314,HOU,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.09277918457175416,0.9986496625013882,26.6,,29.4,93.1
316,HOU,1,101,"[3, 1]",[3],0.829,0.7290000000000001,0.09999999999999987,0.34832872637552403,0.999698096746509,26.0,,26.6,101.3
317,KCA,1,110,"[2, 1]",[2],0.1469999999999999,0.0448407999999999,0.1021592,0.360888196020904,0.9681138031400697,27.6,27.3,,97.0
320,NYA,1,110,[],[],0.0,0.0,0.0,0.000724488217980567,0.03498735171364996,26.7,25.7,,99.3
321,NYA,0,110,[],[2],0.0,0.2320655999999999,-0.2320655999999999,0.0025652127778565065,0.5366406281946231,25.7,27.7,,97.0
325,SEA,1,110,[],[],0.0,0.0,0.0,0.00036309410096387447,0.013932971485974615,28.0,25.9,,97.0
327,HOU,0,110,[2],[2],0.6679999999999999,0.6401743999999999,0.027825600000000006,0.050843228496645625,0.9781821998920698,26.9,28.1,,93.7
328,HOU,0,11,[3],"[2, 3]",0.28,0.4706679999999998,-0.19066799999999978,0.8359460024318618,0.9986209787303073,,27.2,26.9,98.2
330,HOU,1,110,[],[],0.0,0.0,0.0,0.017347080040932623,0.026143848052617515,26.3,26.3,,94.0
335,HOU,1,110,[],[],0.0,0.0,0.0,0.00011436064560211899,0.03802019746174982,26.3,26.3,,90.0
339,ARI,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.14180167542527458,0.9946383223503611,30.0,,26.2,99.3
341,CLE,1,110,[],[],0.0,0.0,0.0,0.008189829260682858,0.7764531918982885,27.8,28.1,,101.3
342,KCA,0,110,[2],[2],0.6679999999999999,0.5566975999999999,0.11130240000000002,0.23189673446466075,0.8864368186085214,27.7,28.7,,92.9
343,KCA,0,110,[],[],0.0,0.0,0.0,0.13843765202273617,0.1356318964807135,27.7,28.7,,92.9
345,CLE,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.36888557998521493,0.9971883290787426,28.4,29.0,,91.6
346,DET,1,110,[],[],0.0,0.0,0.0,0.020435172736586737,0.03973615044491558,27.4,29.0,,96.9
348,MIN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.016323711787262916,0.9821392889976087,27.4,,26.2,101.3
349,NYA,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.1740642133621141,0.9994509344173763,26.6,,27.3,91.6
354,KCA,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.203239706861035,0.9830710066676147,27.7,27.6,,92.8
356,KCA,1,11,[3],"[2, 3]",0.737,0.7282196,0.008780400000000022,0.8531390046783077,0.9826621807513526,,27.6,27.1,96.3
357,MIN,1,11,"[3, 2]",[3],0.779,0.1775368,0.6014632,0.7211939110286104,0.3816861083815183,,26.5,26.2,91.6
360,TOR,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.0034212934078890925,0.9747624835388673,27.1,,28.5,101.3
361,KCA,1,110,[],"[1, 2]",0.0,0.0143679999999999,-0.0143679999999999,0.6838641743728294,0.8243016964705884,27.7,28.7,,95.3
362,KCA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.6090018609970821,0.9937204000576428,30.5,27.3,,97.1
364,TEX,1,11,"[3, 2]","[2, 3]",0.779,0.741362,0.03763800000000006,0.8472285341113484,0.9978928956181349,,26.2,28.5,101.3
365,CLE,0,110,[],[2],0.0,0.1764143999999999,-0.1764143999999999,0.005594364066054716,0.4612643405754893,28.4,29.0,,91.6
367,DET,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.2504611000973459,0.996169742511207,26.9,28.0,,85.3
368,DET,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.25666794343931004,0.9907476570661666,27.5,26.5,,96.1
369,TBA,1,110,[],[],0.0,0.0,0.0,0.0028330099413805833,0.24278503053507094,28.4,26.6,,101.3
370,TBA,0,11,[],[],0.0,0.0,0.0,0.0012107729742294935,0.09319949821662338,,28.7,26.1,96.9
374,TBA,0,101,[3],"[1, 3]",-0.0649999999999999,0.0022016000000001,-0.0672016,0.7540149563648975,0.9994340633973352,28.4,,26.6,96.9
375,KCA,1,110,[],[2],0.0,0.0346815999999999,-0.0346815999999999,0.04034109332111185,0.9290888013120874,26.3,25.8,,99.3
377,BOS,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.6290373680281979,0.9904774955998609,27.3,27.6,,101.3
379,KCA,1,101,[1],[3],0.0919999999999999,0.6789384,-0.5869384000000002,0.0003560810689949274,0.9469563705480186,24.3,,30.5,94.0
382,CHA,0,11,[3],[3],0.28,0.28,0.0,0.4032006344175152,0.9959774213991681,,25.5,25.5,91.6
386,CHA,0,110,[],[],0.0,0.0,0.0,0.00015066846586443588,0.01086675535534105,26.4,22.8,,101.3
389,LAN,0,110,[],[],0.0,0.0,0.0,0.0005549505770845243,0.006348778530712906,28.3,26.6,,91.6
391,ARI,1,110,[],[],0.0,0.0,0.0,0.0005980906409336058,0.012473536624277207,28.8,25.7,,101.3
392,KCA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.011146057296504934,0.985344655706057,27.7,,28.7,93.9
394,KCA,1,101,[],[3],0.0,0.2367275999999999,-0.2367275999999999,0.0029745367815279277,0.3974152454756215,30.5,,27.6,89.5
396,SDN,1,110,[],[],0.0,0.0,0.0,0.005968327158775518,0.006135269756826308,28.3,25.9,,91.6
398,CLE,0,110,[],[],0.0,0.0,0.0,0.0001454113801348087,0.013507245139895754,27.8,29.4,,101.3
399,CLE,1,110,[],[],0.0,0.0,0.0,0.015186778800177415,0.0039458621628964165,29.2,24.5,,97.4
405,SEA,1,110,[],[2],0.0,0.0143632,-0.0143632,0.07521331046116973,0.8673255067236776,26.7,25.0,,101.3
406,SEA,0,110,[],[2],0.0,0.0651119999999998,-0.0651119999999998,0.05300982219044161,0.3458905387537308,25.0,26.7,,96.1
408,ANA,1,11,[3],[3],-0.59,0.6557876,-1.2457875999999999,0.5830819006600574,0.908939138804614,,27.8,28.7,90.1
410,HOU,0,110,[],[2],0.0,0.0094607999999999,-0.0094607999999999,0.011792018631510331,0.2766206679570053,26.3,26.3,,95.4
411,HOU,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.4908215165852277,0.995620420095999,26.3,26.3,,95.4
412,BAL,1,101,[3],"[1, 3]",0.7290000000000001,0.7578448,-0.028844799999999893,0.6882226945963518,0.9997930254104905,28.2,,26.7,95.4
413,CLE,1,101,[3],[3],0.7290000000000001,0.7172208,0.0117792000000001,0.08153123417941467,0.9633342132581207,29.2,,26.0,93.1
414,ANA,1,110,[],[],0.0,0.0,0.0,2.1668400307031016e-05,0.0048221403830927745,28.7,28.6,,103.0
416,ANA,1,110,[],[],0.0,0.0,0.0,0.00935502330229865,0.16933058055213002,27.8,29.5,,87.1
418,ANA,0,110,"[2, 1]",[2],0.486,0.6123487999999999,-0.12634879999999993,0.1371587305303709,0.9335391474982682,29.5,28.6,,99.1
422,TOR,0,110,[],[2],0.0,0.5566975999999999,-0.5566975999999999,0.797160108075527,0.8828294061134331,28.6,26.4,,99.3
427,ANA,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.0295112745443837,0.9646863266160218,27.8,29.5,,91.6
428,ANA,0,110,[2],[2],0.6679999999999999,0.6123487999999999,0.05565120000000001,0.06671789967399357,0.9504918911277465,28.0,28.7,,101.3
429,ANA,1,101,[3],[3],0.7290000000000001,0.6789384,0.05006160000000004,0.001876470872444545,0.9424444792370937,28.0,,28.7,101.3
430,ANA,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.20418610794030922,0.8226476104522163,27.0,27.4,,96.9
431,ANA,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.00534250964369186,0.9573690475991962,28.0,,28.7,96.9
432,KCA,1,110,[],[],0.0,0.0,0.0,0.0007858003863168948,0.0020177055757774095,27.3,28.8,,99.3
433,SEA,1,110,[],[],0.0,0.0,0.0,0.0004251896097988044,0.025983660134769025,26.4,23.5,,95.4
434,SEA,1,110,[],[],0.0,0.0,0.0,0.0028718660091177606,0.2714709758330628,26.4,23.5,,93.1
436,ANA,1,110,[],[],0.0,0.0,0.0,0.03512443268409394,0.22501794087036656,27.8,28.0,,93.1
